11:14 2003
12 Monkeys 1995
2001 Space Odyssey 1968
388 arletta avenue 2011
8 1/2 1963
A beautiful mind 2001
A Boy and His Dog 1975
A clockwork orange 1971
A Field in England 2013
A History Of Violence 2005
A Scanner Darkly 2006
A Serbian Film 2010
A Tale of Two Sisters 2003
Adaptation 2002
Akira 1988
Alice 1988
Altered States 1980
American Psycho 2000
Angel Heart 1987
Anguish 2015
Annihilation 2018
Another Earth 2011
Antichrist 2009
Arlington road 1999
Arrival 2016
Audition 1999
August underground 2001
Awake 2007
Bad Boy Bubby 1993
Basic 2003
Being John Malkovich 1999
Belle de Jour 1967
Big Fish 2003
Black moon 1975
Black Swan 2010
Blue Velvet 1986
Boxing Helena 1993
Brazil 1985
Bubba Ho-tep 2002
Burning 1981
Butterfly Effect 2004
Cabinet of Dr. Caligari 1920
Chaser 2008
Chasing Sleep 2000
City of Lost Children 1995
City of Pirates 1983
Climax 2018
Cloud Atlas 2012
Coherence 2013
Color of Pomegranates 1969
Crash 1996
Cremator 1969
Cube 1997
Cypher 2002
Dancer in the dark 2000
Dark City 1998
Dead Leaves 2004
Dead Man's Shoes 2004
Dead Zone 1983
Deja vu 2006
Delicatessen 1991
Deliverance 1972
Dogtooth 2009
Dogville 2003
Donnie Darko 2001
Don't Look Now 1973
Doom generation 1995
Double 2013
Eastern Promises 2007
Edge of tomorrow 2014
El Topo 1970
End of Evangelion 1997
Endless 2017
Enemy 2013
Enter The Void 2009
Equilibrium 2002
Eraserhead 1977
Eternal Sunshine of A Spotless Mind 2004
Europa 1991
Event Horizon 1997
Ex Machina 2014
Exam 2009
Existenz 1999
Exterminating Angel 1962
Eyes Wide Shut 1999
Fallen 2016
Fantastic Planet 1973
Fear and Loathing in Las Vegas 1998
Fight Club 1999
Filth 2013
Forbidden zone 1980
Fountain 2006
Frailty 2001
Funky forest the first contact 2005
Funny games 2007
Game 1997
Get Out2017
Gift 2014
Gone Girl 2014
Groundhog Day 1993
Gummo 1997
Gozu 2003
Happiness 1998
Happiness of the Katakuris 2001
Hard Candy 2005
High Tension 2003
Holy Motors 2012
Holy Mountain 1973
Hourglass Sanatorium 1973
House 1985
House that Jack built 1967
I Saw The Devil 2010
I Stand Alone 1998
Ichi: The Killer 2001
Identity 2003
Illusionist 2006
I'm a Cyborg, but that's OK. 2006
Imaginarium of Doctor Parnassus 2009
In the Mouth of Madness 1994
Incendies 2010
Inception 2010
Incredible Mr. Limpet 1964
Ink 2009
Inland Empire 2006
Interstellar 2014
Invitation 2015
Irreversible 2002
Jacket 2005
Jacob's Ladder 1990
Kafka 1991
Kill List 2011
Killing of a Sacred Deer 2017
Kontroll 2003
Koyannisqatsi 1982
K-Pax 2001
Lady Vengeance 2005
Last Year in Marienbad 1961
Layer cake 2004
Liquid sky 1982
Lobster 2015
Looper 2012
Lost Highway 1997
Lucky Number Slevin 2006
Machinist 2004
Magnolia 1999
Man Bites Dog 1992
Man from earth 2007
Martyrs 2008
Matrix 1999
Meatball Machine 2005
Melancholia 2011
Memento 2000
Men and chicken 2015
Metropia 2009
Metropolis 1927
Mind Game 2004
Mirrormask 2005
Moon 2009
Mother 2017
Mothman Prophecies 2002
Mr Brooks 2007
Mr Nobody 2009
Mulholland Drive 2001
Mystic river 2003
Naked Lunch 1991
Natural Born Killers 1994
Night Watch 2004
Ninth Gate 1999
No Way Out 1987
Nocturnal Animals 2016
November 2004
Nowhere 1997
Number 23 2007
OldBoy 2003
One hour photo 2002
One I love 2014
Open your eyes 1997
Others 2001
Pandorum 2009
Pan's Labyrinth 2006
Paprika 2006
Perfect Blue 1997
Perfume 2006
Persona 1966
Pi 1998
Pink Floyd the wall 1982
Planet of the Apes 1968
Possession 1981
Possible Worlds 2000
Predestination 2014
Prestige 2006
Primal fear 1996
Primer 2004
Prisoners 2013
Quiet Earth 1985
Rashomon 1950
Rememory 2017
Repulsion 1965
Requiem For A Dream 2000
Resolution 2012
Revolver 2005
Room 2015
Rosemary's baby 1968
Rubber 2010
Salo: Or the 120 Days of Sodom 1975
Saragossa Manuscript 1965
Schizopolis 1996
Science of sleep 2006
Seconds 1966
Secret Windows 2004
Sessions 9 2001
Seven 1995
Seventh Seal 1957
Sexy Evil Genius 2013
Shining 1980
Shōjo Tsubaki 1992
Shutter Island 2010
Sixth Sense 1999
Skeleton key 2005
Skin I Live In 2011
Society 1989
Solaris 1971
Sorry to Bother You 2017
Source code 2011
Spellbound 1945
Sphere 1998
Spider 2002
Split 2016
Spun 2002
Stalker 1979
Stay 2005
Storytelling 2001
Strange Circus 2005
Strange days 1995
Stranger than fiction 2006
Suicide Club 2001
Sunshine 2007
Survive Style 5+ 2004
Suspiria 1977/2018
Swimming Pool 2003
Swiss army man 2016
Sympathy for Mr Vengeance 2002
Synecdoche new york 2008
Tetsuo: The Iron Man 1989
There Will Be Blood 2007
They Live 1988
They Look Like People 2015
Thing 1982
Thirteenth floor 1999
THX 1138 1971
Tideland 2005
Time bandits 1981
Time Crimes 2007
Time Trap 2017
Timelapse 2014
Tokyo Gore Police 2008
Total recall 1990
Trainspotting 1996
Trance 2013
Triangle 2007/2009
Tusk 2014
Under The Skin 2013
Underground 1995
Unknown 2011
Upstream Color 2013
Usual Suspects 1995
Valerie and Her Week of Wonders 1970
Vanilla Sky 2001
Vertigo 1958
Videodrome 1983
Visitor Q 2001
Voices 2014
Waking life 2001
Welcome to the doll house 1995
Wild Boys 2017
World on a wire 1973
Zero Theorem 2013
